case,step,bank,saturation_percent,pre_tanh_rms,mean_tanh_derivative,sample_diversity_rms,sample_diversity_rms_relative_to_real,spatial_sample_diversity_rms,spatial_sample_diversity_rms_relative_to_real,sample_mean_color_diversity_rms,sample_mean_color_diversity_rms_relative_to_real,pooled_4x4_sample_diversity_rms,pooled_4x4_sample_diversity_rms_relative_to_real
cifar,0,fixed_latent,1.3310750325520835,1.0635792685893368,0.5843741593445039,0.5569994018560801,1.230589301639518,0.5560439071448375,1.4909643377836648,0.03261145496806698,0.12714602562769392,0.07527686884696012,0.20366115392304532
cifar,0,evolving_prior,1.3310750325520835,1.0635792685893368,0.5843741593445039,0.5569994018560801,1.230589301639518,0.5560439071448375,1.4909643377836648,0.03261145496806698,0.12714602562769392,0.07527686884696012,0.20366115392304532
cifar,1,fixed_latent,0.9541829427083334,1.0108948849492991,0.6034165912260679,0.569891671252836,1.2590724359851482,0.5685853635379957,1.5245927329262037,0.03856424942502826,0.15035486918656982,0.08128122944965782,0.21990591845226054
cifar,1,evolving_prior,0.9552001953125,1.0109002701698018,0.6034123542791258,0.569893875942993,1.2590773068487642,0.5685876439554306,1.5245988475891412,0.038563207575873504,0.15035080720959088,0.08128425705210633,0.21991410961400423
cifar,8,fixed_latent,13.161214192708334,1.8375522256679027,0.2931783375790322,0.33530947121926996,0.7408055496035418,0.33190278152641917,0.8899570780445486,0.047675833546698666,0.1858792488677952,0.08903848615443691,0.2408931337279712
cifar,8,evolving_prior,13.156636555989584,1.837291145562299,0.2932767079036464,0.3353073513662199,0.740800866172149,0.3319249861392838,0.8900166170224783,0.04750603600244868,0.18521723967704096,0.08894561400063754,0.24064186862755169
cifar,16,fixed_latent,94.07450358072916,4.611686868002474,0.009096085240992376,0.06319716926571424,0.13962270001213428,0.06250206049052834,0.1675916992020948,0.0093474401649688,0.036443938730492814,0.022481097331429802,0.06082248496923476
cifar,16,evolving_prior,94.08772786458334,4.611870201558885,0.009095048422564938,0.06322228188169181,0.13967818178905397,0.06253363986182249,0.16767637545841954,0.009305955725232172,0.036282198579890255,0.022431851930398948,0.06068925180806626
cifar,32,fixed_latent,50.434366861979164,3.2881864070500324,0.19185583841071438,0.730763427631798,1.6144894466250648,0.510461898579764,1.3687417069053953,0.5229185761306601,2.038762721473481,0.5901782896784559,1.5967241111025232
cifar,32,evolving_prior,50.41656494140625,3.289908307172749,0.1919981724165534,0.7310237149936222,1.6150645044110254,0.5100972806779626,1.3677640281978003,0.5236376954804002,2.0415664346890052,0.5905318669276761,1.5976807124022336
