case,step,bank,stage,rms,sample_diversity_rms,batch_mean_rms,diversity_to_rms
cifar,0,evolving_prior,stage16_block1,0.72206711769104,0.6827314496040344,0.23507167028848897,0.9455235294292453
cifar,0,evolving_prior,stage32_upsample,0.72206711769104,0.6827314496040344,0.23507167028848897,0.9455235294292453
cifar,0,evolving_prior,stage32_position,0.7224429249763489,0.6827315092086792,0.23622333962168438,0.9450317604411868
cifar,0,evolving_prior,stage32_block0_attention,0.1563134789466858,0.03243407607078552,0.15291152477773048,0.20749378933500603
cifar,0,evolving_prior,stage32_block0_attention_residual,0.7325507402420044,0.6813153028488159,0.26914688393725616,0.9300588552046751
cifar,0,evolving_prior,stage32_block0_ffn,0.21923188865184784,0.1719214916229248,0.13603536937136904,0.7841992908976189
cifar,0,evolving_prior,stage32_block0,0.7551054358482361,0.7019330263137817,0.2783419584208072,0.9295828012749981
cifar,0,evolving_prior,stage32_block1_attention,0.15481984615325928,0.029146937653422356,0.15205144125705083,0.1882635745844187
cifar,0,evolving_prior,stage32_block1_attention_residual,0.7722408175468445,0.7026289701461792,0.32041911709000503,0.9098573322997879
cifar,0,evolving_prior,stage32_block1_ffn,0.19302934408187866,0.1672956943511963,0.09629370866381362,0.8666852967196182
cifar,0,evolving_prior,stage32_block1,0.8064607977867126,0.7347767353057861,0.33238857925649573,0.9111127748829708
cifar,0,evolving_prior,output_projection,1.0635793209075928,0.9125813245773315,0.5462566227469826,0.8580284579043819
cifar,1,fixed_latent,input_projection,0.5814936757087708,0.5725091099739075,0.1018244267657882,0.9845491600163799
cifar,1,fixed_latent,stage8_position,0.5818493366241455,0.5725091099739075,0.10383626306277839,0.9839473450216005
cifar,1,fixed_latent,stage8_block0_attention,0.05737142637372017,0.043296605348587036,0.03764152666197133,0.7546719348853367
cifar,1,fixed_latent,stage8_block0_attention_residual,0.5846181511878967,0.5741007328033447,0.11039352921714687,0.9820097642141602
cifar,1,fixed_latent,stage8_block0_ffn,0.19816933572292328,0.18288375437259674,0.07631918505492821,0.922866061519737
cifar,1,fixed_latent,stage8_block0,0.6168596148490906,0.6018940806388855,0.1350529530356118,0.9757391570951419
cifar,1,fixed_latent,stage8_block1_attention,0.07741156220436096,0.04976808279752731,0.059293236524734526,0.6429024473907806
cifar,1,fixed_latent,stage8_block1_attention_residual,0.6219244003295898,0.6039698719978333,0.14835886709004234,0.9711306899645012
cifar,1,fixed_latent,stage8_block1_ffn,0.20322813093662262,0.1818794161081314,0.09067276989349238,0.8949519698375376
cifar,1,fixed_latent,stage8_block1,0.6543197631835938,0.6294922232627869,0.17853261143081928,0.9620559528876089
cifar,1,fixed_latent,stage16_upsample,0.6543197631835938,0.6294922232627869,0.17853261143081928,0.9620559528876089
cifar,1,fixed_latent,stage16_position,0.6546635031700134,0.6294922232627869,0.17978832897189928,0.9615508123099239
cifar,1,fixed_latent,stage16_block0_attention,0.08422628790140152,0.030063889920711517,0.07867801533138159,0.3569418844138714
cifar,1,fixed_latent,stage16_block0_attention_residual,0.6609013676643372,0.6299885511398315,0.19976246697847727,0.9532262784782043
cifar,1,fixed_latent,stage16_block0_ffn,0.2001904994249344,0.17935524880886078,0.08892654713141795,0.8959228800771026
cifar,1,fixed_latent,stage16_block0,0.6929060816764832,0.6555860638618469,0.2243340163559408,0.9461398610842892
cifar,1,fixed_latent,stage16_block1_attention,0.1280316412448883,0.03283695504069328,0.12374908300070459,0.2564753112700124
cifar,1,fixed_latent,stage16_block1_attention_residual,0.7028685808181763,0.6561347246170044,0.25201481117808333,0.9335098232065357
cifar,1,fixed_latent,stage16_block1_ffn,0.19791622459888458,0.17252202332019806,0.09698960474700968,0.8716921701080709
cifar,1,fixed_latent,stage16_block1,0.7342532277107239,0.6827883124351501,0.27005170394866224,0.9299084929649781
cifar,1,fixed_latent,stage32_upsample,0.7342532277107239,0.6827883124351501,0.27005170394866224,0.9299084929649781
